1-METHYL-L-HISTIDINE	2,4-DIHYDROXYPTERIDINE	2-AMINOISOBUTYRATE	4-GUANIDINOBUTANOATE	4-HYDROXYBENZOATE	4-IMIDAZOLEACETATE	5-AMINOLEVULINATE	5-HYDROXYLYSINE	ACETYLCHOLINE	ADENINE	ADENOSINE	AGMATINE SULFATE	ALANINE	AMINOISOBUTANOATE	ANSERINE	ARGININE	ASPARTATE	AZELATE	BIOTIN	CADAVERINE	CAFFEINE	CHOLINE	CITICOLINE	CITRULLINE	CYSTATHIONINE	CYSTINE	CYTIDINE	DEOXYADENOSINE	DEOXYCARNITINE	DEOXYCYTIDINE	DEOXYGUANOSINE	GAMMA-AMINOBUTYRATE	GLUTAMATE	GLUTAMINE	GLUTARYLCARNITINE	GLUTATHIONE REDUCED	GUANINE	GUANOSINE	HIPPURATE	HISTAMINE	HISTIDINE	HISTIDINOL	HYPOXANTHINE	INDOLE-3-ACETATE	INOSINE	ISOLEUCINE	KYNURENATE	KYNURENINE	LAUROYLCARNITINE	L-CARNITINE	LEUCINE	LUMICHROME	METHIONINE	METHIONINE SULFOXIMINE	METHYLTHIOADENOSINE	N,N,N-TRIMETHYLLYSINE	N,N-DIMETHYL-ARGININE	N1-ACETYLSPERMINE	N-ACETYLPHENYLALANINE	N-ACETYLPUTRESCINE	N-ALPHA-ACETYLLYSINE	NICOTINAMIDE	NICOTINATE	O-ACETYLCARNITINE	ORNITHINE	PANTOTHENATE	PHENYLALANINE	PHENYLETHANOLAMINE	PHOSPHORYLCHOLINE	PICOLINATE	PROLINE	PTERIN	PUTRESCINE	PYRIDOXAL	PYRIDOXAMINE	RIBOFLAVIN	S-ADENOSYLHOMOCYSTEINE	S-ADENOSYLMETHIONINE	SEBACATE	SERINE	SPERMIDINE	SPERMINE	THIAMINE	THIAMINE MONOPHOSPHATE	TRYPTOPHAN	TYROSINE	VALINE
Ral_101	-0.00885526165615927	-0.00638285785595074	-2.17410007066243e-05	-0.00366979629670233	0.0118136240656048	0.000380543529578254	-0.00297307468948057	-0.000846880692956361	0.00796595186271923	0.0018687557806616	0.00140009313500305	-0.00355418023856415	0.000746440211124742	-0.00552491809591469	0.00464089793142864	0.000970874446059508	-0.00532010576462876	0.0014432109301803	-0.00193306516265655	-0.000104639717975715	0.000884685365536908	0.000375519886955151	-0.000970996647106581	0.000388176250807701	-0.00424100430556464	-0.0078231848499674	-0.000164783941089375	-9.86584415886548e-05	-0.0130068362831582	0.00467988075415151	-0.00199206001709244	-0.00277832705110126	0.00160063536931792	9.80889569825788e-05	-0.00125402769343026	0.0020266844267291	0.00540900949141737	0.00486787493622317	0.00497392356242758	-0.00059074222504184	0.00289806473519663	-0.00358587223909316	-0.00138955684374445	0.00727312525834522	-0.0011714311254304	-0.00258389269071267	-0.00399952607046309	0.00971709181553949	-0.00334142035735969	-0.00132214132662659	-0.00251849977132533	0.00238608513629497	-0.00296196847654194	-0.000171430981644468	-0.000912968072009351	-0.000365077238528279	-0.00940214609605623	0.00339721182083022	-0.00358076095641734	7.97904550754467e-05	0.00620248607212158	0.00454501293579596	-0.000681838097593941	-0.00358766049184911	-0.00165398502438338	0.0110174451260498	-0.0028138130195855	-0.00345870976895831	0.000935464313595828	-0.000322637982592735	0.00260762240421099	-0.000263913522983471	0.000751162071208901	0.00244341478952354	-0.00198848242307677	0.00632530262044793	-0.000505334909176331	0.000668279853481459	0.00414041457250877	-0.00207619686592254	-0.00255330110784334	-0.00511971925544776	0.00428329046891201	0.00119262312252867	0.00852413936705789	0.000859607140879864	-0.00234307763031195
Ral_136	-0.0122026778126399	-0.00805744073518894	0.000915155818323858	0.00135887455220126	0.0125816554309273	-0.00137617776234169	-0.00733932414852306	-0.00102528900567681	0.00479881296811691	0.000628588055341184	0.00123781219163728	-0.00286210275164966	0.00112036700112709	1.83106856067037e-05	-0.00567924175868404	0.00155966457806541	-0.00202305640213401	-0.00541205110761509	-0.00183591407151373	0.0149422862465926	-0.00835745097163823	0.00262994693950372	-0.00364448201443374	-0.00234597855039076	-0.00398553464839224	0.00680920774270971	-0.000207268796808729	0.000204896042116332	-0.00878511125565961	0.000218615057108995	-0.00027223819355546	-0.00148016766682967	0.000101513340219129	-0.000243036746522602	0.0050638166609875	-0.00788601169605178	0.00768998657067141	0.00734957147938672	0.0102274281140406	-0.000910816703226071	0.0013385853210544	0.00370835946066596	-0.00299630665891831	-0.00200165354618039	0.00202395873288554	-1.02562918991336e-05	-0.00658013775934663	0.00102917216137674	-0.0136912990964638	-0.00194920701441622	0.000739595662328452	0.00523241449081554	-0.00209198104486286	-0.0048033930654908	-0.00136020412300972	0.00265926405040022	-0.00291896534682392	0.00509222071237669	0.00555793157931856	-0.00105131947514798	9.14535086212502e-05	-0.000885200442761476	0.00147921587271713	-0.00269693549266101	-0.0049504832581491	0.00446028660045615	8.11576833526786e-05	0.000752886057111204	0.000666845718349826	0.00146459508936879	0.00105078631869868	0.000771087961419566	-0.00522810933003264	0.00206173360992993	0.00375222779055609	0.00669218074384376	0.00407773247687562	-0.000232079366207003	0.00257325856899008	-0.00171809615612395	0.00010689784990861	-0.00524877109416391	0.00199430576377762	0.00294969174247959	0.00437554680533388	-0.00036494268084327	0.000470812235282444
Ral_138	-0.0112863875919844	-0.00617798576599743	-0.00344791389893007	-0.00297862941456092	0.0106405673762575	-0.000615370447896364	-0.00697149863988331	-0.0037214959774428	0.00757766670939523	0.00208840133758056	0.000369039653433067	-0.00742432411194775	0.000665514143078573	0.00151817008618186	-0.00400384094562165	-0.000321507036112671	-0.000252417245902325	-0.000237244481299666	-0.00143083602202855	0.0184669100242107	-0.00319850112200414	-0.00143711499171275	0.00664276732260752	-0.00576436827415954	-0.00536114414320655	0.00160180062819571	0.00254701695116434	0.00080753003521433	-0.00932055160295615	0.00671207908188185	0.00148839962312395	0.00134236487815123	0.000397367193394063	-0.00338301886725029	-0.00130994174713163	-0.0202307598734603	0.00570995731733708	0.006144770087106	0.00723155541978151	-0.00027681928261523	0.000963632453940575	-0.000960951000624657	-0.000890678399725596	0.000736674778425667	0.000203578555032435	-0.000444429083399177	-0.00512370458239262	0.00775688582930682	-0.00698726958377901	0.00198164908758534	7.23566857868574e-05	0.00902694377307409	-0.00244385247826878	-0.000483395690743172	-0.00150420798074902	0.00248399301038854	-0.00745632283756374	0.00653411864269488	-0.002470601983901	-0.00227726736468504	0.000647921106147113	0.0002829058574882	-9.45005940365556e-05	-0.00533554908412804	-0.00824480625008976	0.0107662511248782	-0.00143692539001472	-0.0015577597302962	-0.00092287153042673	-0.000167397043826384	-0.000163986107854537	0.00255504035116802	0.00282743706124809	0.00415029363011217	0.00183345681808303	0.0101108244952566	0.00118663132294103	-0.000295043956682	-0.00170701579608505	-0.00215086049268039	0.00249912643198629	-0.0065013818466703	-0.00115044874319433	0.00194620927076918	0.00656077490773221	0.00171921453934326	0.00112510143443798
Ral_208	-0.0093379660273504	-0.00901709501433217	-0.00153640548885147	0.00192711732115449	0.00790370186095511	0.000711537438401785	-0.00346866989184818	-0.000857796770105429	0.00134993249317358	0.000756989981023695	-8.42628749935818e-05	-0.00294922800298658	0.00140621498125331	0.00251535734934127	-0.00169000060539375	0.00250374951561849	-0.00393812351667686	-0.000237881717031653	-0.000874470441243383	0.0244354759222869	-0.00166672721928	0.00147606937667412	-0.00494518657511152	-0.00388088526305115	-0.00800498230307163	0.00173072561038472	0.00183275657902482	0.000391275125080377	-0.0145170000762847	0.00340431693950323	-0.00317075034756311	0.00169267903871092	0.00161934381249874	0.00141261878957458	0.000706761941575682	-0.0238336978611844	0.00705424685514723	0.0068811455700048	0.00890644335111767	0.00133779223305301	0.00398538433011587	0.0043363579127469	0.0019648621772963	-0.00272508828369407	0.00127678985384129	-0.000901543851584094	-0.00827704207534675	0.00726626374804194	-0.00302622872153436	0.00126337846124833	-0.00061267750401858	0.00556459505569047	-0.00448173916424524	0.00118202627718671	-0.00441158724664684	-0.00576991216147284	-0.00577298808829479	0.00569256372349955	0.0015214577655306	-0.000290440210786639	-0.000821710577626945	0.00207667125659414	0.00122135709756729	-0.00434905995295238	0.0031475519373151	0.00305255938092133	-0.000603968640415934	-0.00117236810252188	0.000558585999770945	0.00137952773711865	0.0032458690912283	0.000862240368858241	0.00467379566736435	-0.000663054562398294	0.00279340095641955	0.00325123814309141	-0.000215984709588069	-0.00862068755795088	-8.34223952903155e-05	7.26080373326877e-05	0.00213168893879444	-0.00236657747261554	-0.000171157072727794	0.00273991605460821	0.00151939834712624	0.00142045200376618	-0.000808424060561207
Ral_228	-0.00907723671644021	-0.00970687764107578	-0.00019386743033872	0.00105686334362457	0.00655192201987664	-0.00199478650753035	-0.0099840059601507	-0.0034556687375759	0.00132166877668524	-0.00149888902575793	-0.00809789469399741	-0.00394223630329564	-0.00225844386127594	0.000390742552847324	-0.0141995680428386	0.000928781867632952	-0.00494962000876689	-0.00123308698644221	-0.00224597398034851	0.0296702856522498	-0.00132706859473993	0.00150800672392801	0.00312081617552181	-0.00299533553826444	-0.00228450912945949	-0.00431666562839786	-0.00240900464463392	0.00566024568784124	-0.00736636378032237	0.000766618477611133	-0.00590490408140764	-0.000518513405980761	0.00113463456075129	0.000265113797829427	-2.91020866517619e-06	-0.0142575701760635	0.00625419134042911	0.00509995184865413	0.00399845108444706	-0.00294420696224004	0.00387281250070788	0.0037261696923846	0.0024469354079994	-0.000159671180581959	-0.00139548109832226	0.0027749811665736	-0.00889133108560759	0.00645648611498135	-0.0117216621815801	-0.00131183223897171	0.00215250142574525	0.0131578118033325	-0.00348551330510042	-0.000223614088294938	-0.00120181009144156	0.00051514214522863	-0.00517487234284561	0.0014552187180347	0.000186791506347037	-0.001257858303653	-0.00157868452434448	0.000637444653144718	0.00264114899781491	-0.00783195212987852	0.00205135141574807	0.000186299666311979	0.000505377199152366	0.000516286972647013	-0.00218114305648057	0.00249327585612412	0.000333541297294811	-0.00139058883808174	0.00173412263354305	0.00468140677711824	0.00330923551546725	0.0105139733953959	0.00337577822954854	0.0013134996842446	0.00227696067746489	-0.00166425938853021	-0.000145116359140014	0.00454501535684373	0.00533715025117133	0.00151351411656427	0.00861509542227615	0.00256186133144388	0.00316511441828103
Ral_26	-0.0144154914608694	-0.00525823282828639	0.000473777483905183	0.00386299032478227	0.00702889366051107	-0.000897584557942306	-0.00284103029317212	-0.00555691704387313	0.00663253510904347	-0.000902642988769277	-0.00122317334770836	0.00323181430264977	-0.00170863229435264	-0.00371821836138367	-0.00511432395421709	-1.03040003054757e-05	0.00314196759230389	0.00472280934073914	-0.000724582479046657	0.00328196216922925	0.0017487195434853	0.00145493528495641	-0.000326127374429513	-0.00246542038207201	-0.00122131810146583	0.00364217263063696	-0.00162810434050879	0.00340319743215425	-0.0190462596405878	-0.00224945175877542	-0.00294653903330921	0.000213125397463801	0.00174898525073836	8.29069097496842e-05	-0.00144855234984081	-0.00803366241379848	0.00420748187630071	0.00469762799881352	0.0119799770622259	-0.00199455040584387	5.46771660449548e-05	0.00361427164759575	-0.00486394167225548	-0.00469330896620685	-0.000180699952169209	-0.00216284194975582	-0.00417936571421543	0.0072503597151479	-0.011285094556776	-0.00540966947030825	-0.00212078077705395	0.000353351745365391	0.00199545538941571	-0.0010808039175133	-0.00058380793607725	-0.00431967047125072	-0.00236947954671802	0.00474172415971764	-0.00402541065156293	-0.000640317570015239	-0.000287196400858283	-1.30215774795472e-06	0.00241381953866637	-0.0123516080264709	-0.0046318844697645	0.00336004613546814	-0.000259645959779664	-0.00206836873133529	-0.00226681855705368	0.00255379320493469	0.000723435201642013	0.00273961296328524	0.00795521024144282	0.00246511889000084	0.00395766637137697	0.0157266846143527	0.00535053914950293	0.00111398395632241	0.00143566729104818	-0.00195320703118176	0.00179157634113519	0.00216435878638562	0.00830449504002199	0.00290288416453032	0.00629415476379974	0.0014049705930077	-0.000757392543271516
Ral_320	-0.00981963055923386	-0.00532670359589829	-0.0010936588608021	-0.000415746871963212	0.00765937820744128	-0.00353743716521651	-0.00161396610058429	-0.00222034700012007	0.000133240433804356	0.00010126849421486	-0.00160578103019249	-0.00586805603692839	0.000724340588687316	-0.000141331509063874	-0.0042483273431184	0.00125103221405946	-0.00239043810349634	-0.00186226636895007	-0.00263811550514107	0.0203785539306929	-0.00120748269765337	0.000257566382412963	0.00352092512903384	-0.00141427692507596	-0.0118391931224774	0.00741129071567382	-0.00142804116274659	-0.00147922722775507	-0.00434472814134196	0.00354006977327733	-0.00277183669367853	0.000535181863021832	0.000680787942916898	0.000528439924101398	0.00100312731194333	-0.0229009988816282	0.00760518043600943	0.00745518569015511	0.00491899023147452	-0.000135916121729314	0.00443545129071735	0.000698593059924466	0.000877277864668004	-0.000506311303779204	0.000727285712712422	0.00081305894017751	-0.00846137417828579	0.00689663477499078	-0.00119003235237475	0.000129736569608792	0.00093281555285768	0.00502323929405524	-0.00245740494476661	-0.00104553867203426	-9.25619347026235e-06	-0.00031805144860955	-0.00573025245831554	0.00929780630392619	-0.000577973192876197	-0.00107994635405454	-0.000318605160690651	0.00312261857808616	0.000771652559562602	-0.00431095118965819	-0.00253721999844615	-0.000409065499735587	0.00105704625955671	0.000364698501120067	-0.00142132930693391	0.000738766517898973	0.00141188647346739	0.000847305726961676	-0.0025939909484791	0.000982367028501674	-0.000931817819918952	3.4765532044391e-05	0.000370435495970964	0.0010944301778213	0.00212608910696177	-0.00109748679597068	0.00123849026574847	0.00407064929405704	0.00185173622297915	0.00270778886532612	0.00371087872516553	-0.000305142594278282	0.00156719347368378
Ral_355	-0.0138688215554127	-0.0086436027637425	0.00205334827296309	0.00186015966198343	0.00948282922970977	-0.0022909717824875	-0.00338649658941972	-0.00301809496951338	-0.000177535634946124	-0.00165509519240882	-0.00228237175752052	-0.00242354266705642	0.00116806175352614	0.00167850444290472	-0.00226904784473955	0.00398639993559713	0.00145089439253414	0.00506948256255174	-0.00194277171809271	0.0250472062431919	0.00215231103019389	0.00257737364628792	-0.00131364434491187	-0.003389100093408	-0.00457423313693232	0.00652762152562687	0.000916745999742033	-0.00117043675019827	-0.00486919201483125	0.000702505566849663	-0.00234597872292313	-0.000760590882709039	0.00293149158202119	0.00177663876852876	-0.000481874729701769	-0.011060879936899	0.00470663634928919	0.00486735317953427	0.00429402253187845	-0.00548702086545057	0.00590829746229731	0.00214265774273878	-0.00131560288961512	0.00210075864003542	0.000274709503200627	0.000775979019432493	-0.0070470215124506	0.00497107589513829	-0.004291759235661	0.00249939803785727	0.000708922961578221	0.00838855979163742	-0.00243951679407864	0.000534887041391013	-0.00533432943242451	0.000226936232755628	-0.0043617670138738	0.00644820765216998	-0.000289276546424092	-0.00223949212167951	-0.000557723971478704	0.0016969551607064	-0.000692693374505037	-0.00782352136778228	-0.00296750430982835	-0.000476737134892732	-0.000706550253781141	-0.00235367694694006	-0.00109352380210214	-0.000585317789225929	0.000553892388335239	0.000759108157773371	-0.00434322128533673	-0.00171416468972222	0.000990550978905519	0.000881622697834919	0.000476468163557148	-0.00234637306165272	0.000537787279970685	-0.00114190445540556	0.00430742472063114	0.000509163227697961	-0.00151712337017672	-1.59957339842795e-05	0.00290348194815633	0.00102674476293274	0.000192924904678779
Ral_362	-0.014260218930448	-0.00498773353664321	-1.444796218338e-05	-0.00220330396333769	0.00563594791541081	-0.00348251859807391	-0.00584648799695555	-0.00281204494952478	0.0062731186572423	0.000381741667110033	-0.00390585507509979	-0.00939551003502063	0.00137250252808429	-0.000676142478295515	-0.00490080954027698	0.00157420329193899	-0.00793200476220657	-0.00147876205778631	-0.00158032836068106	0.0145933780003686	-0.00292323216305569	0.000517490908497998	0.00629724583763123	-0.00181334924826907	-0.00617313989951247	0.00317433346274463	0.00520477507986123	0.000819750578972364	-0.00661189228007007	0.0097781472872536	-0.000655210091681683	-0.000173751156987563	0.000278651365776265	-0.00152921698247688	-0.00506926167373222	-0.0163597880378942	0.00815279506924415	0.00768447565775208	0.00120933049781427	0.000757667370054853	0.00168678981216033	-0.00161931874383294	0.00183611712833289	-0.00362585698742692	0.00097190357227195	-0.000766164842305489	-0.00767648865981986	0.00569649060036324	0.00788840600669736	0.000220865652730455	-0.00125025431536339	0.000838432434593904	-0.00211775957217636	-2.96506978326182e-05	-0.00138048657145315	0.00217210974451733	-0.00481860485214783	0.00871809467088691	-0.00171144524726847	-0.00198889948357381	-0.00159186925148368	0.0046677076864116	0.00149761006428274	-0.00243931812105006	-0.00400230505760536	0.00741189437773016	-0.00191813065956822	-0.00218246940205991	-0.00170458567936799	0.00188280020067016	0.00235726596221498	0.000997726250260349	-0.00805397542217051	0.00217073755270833	0.0036798974157077	0.00305054568351288	0.000856922416572673	0.00331765799720388	0.00203909398697995	-0.0018277905499208	0.00374967677059145	0.00524693552680741	0.0032266133615757	0.00446931337498222	0.000978759613205107	0.00135942423990962	-0.00120496338299933
Ral_38	-0.0150259137509995	-0.00631826240922664	-0.000453225657734873	-0.00556324793223238	0.00625774874154615	-0.000519434408636464	-0.00695947827696184	-0.00453231142547819	0.00466588609615287	0.00253696077916141	0.000247293328376266	-0.0106884935138935	0.000738366580659891	-0.00104207626329113	-0.0036069908680656	-0.00066269687652594	-0.00125639994705955	0.00128929374100377	-0.00139154797989649	0.0100180520440382	0.00256595019166525	-0.00123919161259039	-0.00273926256503623	-0.00399434173079381	-0.00752232885661486	0.00394294680877953	0.000917299147154724	0.000825797493670372	-0.012520842865177	0.00214999021873594	0.00150526938766147	-0.00110113840163355	0.000991696108711439	-0.00311946247460981	0.00185028360052788	-0.0170415274359274	0.00811049200277573	0.00760836170556128	0.010872867187359	-0.00199887976578981	0.000685199314864585	-0.0027238126057756	0.00152445799800433	0.00306207630764197	0.00104095481074089	0.000615721871653114	-0.00744992546511324	0.00797657792598203	-2.67449902853537e-05	-0.00124822368728322	0.000914706685785514	0.0137694772502588	-0.00499544963121157	-0.000627300047480191	-0.000593483404920961	0.00361561109623857	-0.00448832510922869	-0.00264101868498546	-8.59363663377404e-05	0.000126659873249958	0.00559433699326994	0.00127814696508971	-0.000467049603116184	-0.0066703879401969	-0.00440947949092735	0.00799953888400487	-0.00284261951506968	-0.00227043038142553	0.00181686979908104	0.000137187097522844	9.6707095778946e-05	0.00152925799004785	-0.00595220591667767	0.00315243142007924	0.00313131098987745	0.0123509575973986	0.00134433566953528	0.00101812182326904	0.00390787950417328	-0.00367802349540661	0.000665389619231387	0.00150597702314878	0.000753218481392549	0.00225679103420148	0.0101777821877295	-0.000802914417431901	0.00212814729825588
