Genotype	Block	MeanLS	LogMAlpha	MBeta	LogMiu45	LogMiu60	RepOutput_Day08	RepOutput_Day12	Week3	Week4	Week5	Week6	Slope
Ral_101	Block1	74.0554976507648	-19.496553545651	0.22927	-7.11460475971294	-5.54073754676188	1.0757788109118	0.909991552089616	0.13721301213162	0.21034140526494	NA	NA	NA
Ral_136	Block2	82.7210295067489	-14.915123346966	0.15098	-8.12101641619827	-5.85632262712596	0.891026353319861	0.759168929063457	0.700839149554732	0.629850397532959	0.513367763374983	0.428530821298915	-0.0933407618925428
Ral_138	Block2	46.2761111111111	-16.5581522038361	0.31899	-2.19836255719497	2.58129168931781	0.679062723119533	0.50676256603929	0.0561867777286939	0.0260582005237576	0.00606841408730561	0.00137267850162456	-0.018443208411766
Ral_208	Block2	59.3438060404223	-17.0778159407598	0.25099	-5.54712640128878	-2.01226326489723	1.28755490843029	1.73616008040467	0.591895918058668	0.589835420063541	0.402710787195649	0.229236894893722	-0.127510170236273
Ral_228	Block2	64.9387151795155	-10.8197782844103	0.12792	-5.0633779586753	-3.14457823659792	1.20343382031406	1.04981325865477	0.45609650068271	0.341624862916042	0.378752850015948	0.183978512086251	-0.077922597868947
Ral_26	Block1	37.3793252680718	-7.82404601085629	0.14319	-1.38049600266393	0.767353990100042	0.775241059314612	0.167943666794225	0.531416434486066	0.239169535877988	0.152282207034995	0.0187675620397177	-0.162483394618204
Ral_320	Block2	77.7104339394998	-16.0982930236621	0.17675	-7.77450544128691	-5.46218462996899	1.10189112952133	1.19174312483645	0.586618177834242	0.477745320324257	0.410857318748779	0.284233592562595	-0.0974041757390418
Ral_355	Block2	54.6480319652643	-13.0688226104763	0.19991	-4.07287248950195	-1.0742226044452	0.755261033151402	0.563511787392321	0.405581916761008	0.303635570081798	0.194630236359336	0.0620557922870552	-0.113958370714432
Ral_362	Block2	74.7064704804139	-11.5129254649702	0.11469	-6.25362222642428	-4.61321345622034	0.782392202774706	0.688158941404683	0.748711266002358	0.809959558899305	0.60743342183689	0.444689735990675	-0.111459072709746
Ral_38	Block1	67.8844848952091	-16.1081453201052	0.20151	-6.58860691366001	-3.99014197262635	0.499738667888067	0.69640960710534	0.413957186397469	0.476389227543176	NA	NA	NA
Ral_385	Block1	46.2910980625071	-13.7957079306681	0.25622	-2.26368961589613	1.57753749660998	1.61777408422258	1.22941599154473	0.214819866776266	0.351285952622409	NA	NA	NA
Ral_405	Block2	54.9121047609344	-12.007221786785	0.17505	-4.10540555536268	-1.5024231453899	0.622138025379716	0.395234048488835	0.511666569647574	0.352459843755888	0.104820559659554	0.0125890390528308	-0.174487187588056
Ral_426	Block1	53.9536990914539	-11.6980509490969	0.17493	-3.8262008545679	-1.20225094224206	0.369352882761646	0.454874766188368	0.27667979845218	0.134693503310106	0.19323997208804	0.191432630329198	-0.0197195035591012
Ral_440	Block1	52.9306143937652	-8.94797610750869	0.1205	-3.52445752814348	-1.71780892436231	1.30888487534236	1.32974768331325	0.535212869135184	0.255628377636068	0.194907400112641	0.173325151233655	-0.114638413122801
Ral_441	Block1	72.364967407059	-15.9192447922132	0.18801	-7.16090662546459	-4.61817491335953	0.982065150365432	0.934008832682264	0.5650446184248	0.358072298085086	0.303740151531822	0.223663577999411	-0.107847526782943
Ral_443	Block1	68.8734669720675	-18.0770910395623	0.23065	-7.20373047793183	-4.21820028908985	1.23390340804472	0.592267450338372	0.468893169890557	0.289919816185649	0.285069395679315	0.2070361557563	-0.0790421462909107
Ral_502	Block1	68.6804362217065	-13.2907820290293	0.15277	-5.95033487683695	-4.0663256709517	1.35212204272142	1.1300251493475	0.656453789886803	0.393357398163332	0.416934103560351	0.290112897076119	-0.107544597303503
Ral_703	Block1	42.2643773148148	-10.1266311038503	0.18992	-1.58023109384682	1.268568896729	1.45989859959178	1.03038592680412	0.509859476634587	0.242856323534961	0.132371256112176	0.123694598792756	-0.126897970094828
Ral_796	Block2	41.5812811074478	-18.7659919292408	0.4151	-0.0862302812573315	6.14000858793658	1.56549735758004	1.32696392218551	0.523526489283756	0.234015412750122	0.0476370454472094	0.0472334593608534	-0.161525745707162
Ral_93	Block1	39.4895546510038	-19.018517744708	0.41931	-0.145048775293247	6.14009065876755	1.41625089750781	1.25081239716143	0.339267299070841	0.0777984167626263	0.0318626749653418	0.0162454705281257	-0.101500122742543
