Block	Genotype	Week1	Week2	Week3	Week4	Week5	Week6	Intercept	InterceptAt3	InterceptAt5	Slope
Block1	Ral_101	0.367697559085202	0.197381876114001	0.13721301213162	0.21034140526494	NA	NA	NA	NA	NA	NA
Block2	Ral_136	0.514605326055847	0.399493303754345	0.700839149554732	0.629850397532959	0.513367763374983	0.428530821298915	0.98818046145684	0.708158175779211	0.521476651994126	-0.0933407618925428
Block2	Ral_138	0.219662269379955	0.234639596642478	0.0561867777286939	0.0260582005237576	0.00606841408730561	0.00137267850162456	0.105415955563292	0.0500863303279944	0.0131999135044624	-0.018443208411766
Block2	Ral_208	0.553304517065963	0.660652496889121	0.591895918058668	0.589835420063541	0.402710787195649	0.229236894893722	1.02721552111612	0.644685010407304	0.389664669934758	-0.127510170236273
Block2	Ral_228	0.265344545506546	0.385483677825912	0.45609650068271	0.341624862916042	0.378752850015948	0.183978512086251	0.690764871835499	0.456997078228658	0.301151882490764	-0.077922597868947
Block1	Ral_26	0.704493830642051	0.442231812210498	0.531416434486066	0.239169535877988	0.152282207034995	0.0187675620397177	0.966584210641608	0.479134026786997	0.15416723755059	-0.162483394618204
Block2	Ral_320	0.493171776828736	0.542483735006208	0.586618177834242	0.477745320324257	0.410857318748779	0.284233592562595	0.878182393193156	0.585969865976031	0.391161514497947	-0.0974041757390418
Block2	Ral_355	0.406413330134858	0.496888979283669	0.405581916761008	0.303635570081798	0.194630236359336	0.0620557922870552	0.754288547087243	0.412413434943947	0.184496693515083	-0.113958370714432
Block2	Ral_362	0.478378258741542	0.676681635567852	0.748711266002358	0.809959558899305	0.60743342183689	0.444689735990675	1.15426432287617	0.819887104746926	0.596968959327434	-0.111459072709746
Block1	Ral_38	0.702823848951428	0.390285259500661	0.413957186397469	0.476389227543176	NA	NA	NA	NA	NA	NA
Block1	Ral_385	0.599176160920956	0.259582311767869	0.214819866776266	0.351285952622409	NA	NA	NA	NA	NA	NA
Block2	Ral_405	0.464864408329165	0.405475218508269	0.511666569647574	0.352459843755888	0.104820559659554	0.0125890390528308	1.03057634717521	0.507114784411046	0.158140409234934	-0.174487187588056
Block1	Ral_426	0.322354001497612	0.166104718807733	0.27667979845218	0.134693503310106	0.19323997208804	0.191432630329198	0.287749242060836	0.228590731383533	0.189151724265331	-0.0197195035591012
Block1	Ral_440	0.574783280806276	0.438400361662039	0.535212869135184	0.255628377636068	0.194907400112641	0.173325151233655	0.805641308581993	0.461726069213589	0.232449242967987	-0.114638413122801
Block1	Ral_441	0.648131522406346	0.620634518460665	0.5650446184248	0.358072298085086	0.303740151531822	0.223663577999411	0.847944032033523	0.524401451684694	0.308706398118808	-0.107847526782943
Block1	Ral_443	0.580221162449584	0.422767215948183	0.468893169890557	0.289919816185649	0.285069395679315	0.2070361557563	0.668419292687053	0.431292853814321	0.2732085612325	-0.0790421462909107
Block1	Ral_502	0.664344356766111	0.58773487090045	0.656453789886803	0.393357398163332	0.416934103560351	0.290112897076119	0.923165235037416	0.600531443126906	0.385442248519899	-0.107544597303503
Block1	Ral_703	0.719660969387212	0.60311537609549	0.509859476634587	0.242856323534961	0.132371256112176	0.123694598792756	0.823236279195345	0.442542368910862	0.188746428721206	-0.126897970094828
Block2	Ral_796	0.555511318086616	0.572954289761886	0.523526489283756	0.234015412750122	0.0476370454472094	0.0472334593608534	0.939968957392714	0.455391720271228	0.132340228856904	-0.161525745707162
Block1	Ral_93	0.625885652564121	0.438487623925102	0.339267299070841	0.0777984167626263	0.0318626749653418	0.0162454705281257	0.573044017673177	0.268543649445548	0.0655434039604622	-0.101500122742543
