Genotype	Block	MeanLS	MedianLS	LogMAlpha	MBeta	Makeham	LogMiu45	LogMiu60	Surv45	Surv50	Surv60	Surv69	RepOutput_Day08	RepOutput_Day12	Week1	Week2	Week3	Week4	Week5	Week6	Intercept	InterceptAt3	InterceptAt5	Slope
Ral_101	Block1	74.0554976507648	75.9658333333333	-19.496553545651	0.22927	0.00071	-7.11460475971294	-5.54073754676188	0.958168456755229	0.958168456755229	0.949689089881289	0.881854154889768	1.0757788109118	0.909991552089616	0.367697559085202	0.197381876114001	0.13721301213162	0.21034140526494	NA	NA	NA	NA	NA	NA
Ral_136	Block2	82.7210295067489	83.8283333333333	-14.915123346966	0.15098	2.06e-09	-8.12101641619827	-5.85632262712596	1	1	0.991379310344828	0.939576083517874	0.891026353319861	0.759168929063457	0.514605326055847	0.399493303754345	0.700839149554732	0.629850397532959	0.513367763374983	0.428530821298915	0.98818046145684	0.708158175779211	0.521476651994126	-0.0933407618925428
Ral_138	Block2	46.2761111111111	47.64875	-16.5581522038361	0.31899	0.00058	-2.19836255719497	2.58129168931781	0.764227642276423	0.124602332979852	0	0	0.679062723119533	0.50676256603929	0.219662269379955	0.234639596642478	0.0561867777286939	0.0260582005237576	0.00606841408730561	0.00137267850162456	0.105415955563292	0.0500863303279944	0.0131999135044624	-0.018443208411766
Ral_208	Block2	59.3438060404223	59.7133333333333	-17.0778159407598	0.25099	0.00082	-5.54712640128878	-2.01226326489723	0.927083333333333	0.916548295454545	0.431936553030303	0	1.28755490843029	1.73616008040467	0.553304517065963	0.660652496889121	0.591895918058668	0.589835420063541	0.402710787195649	0.229236894893722	1.02721552111612	0.644685010407304	0.389664669934758	-0.127510170236273
Ral_228	Block2	64.9387151795155	65.9479166666667	-10.8197782844103	0.12792	2.06e-09	-5.0633779586753	-3.14457823659792	0.91869918699187	0.910569105691057	0.746624897441635	0.352704250194148	1.20343382031406	1.04981325865477	0.265344545506546	0.385483677825912	0.45609650068271	0.341624862916042	0.378752850015948	0.183978512086251	0.690764871835499	0.456997078228658	0.301151882490764	-0.077922597868947
Ral_26	Block1	37.3793252680718	39.9545833333333	-7.82404601085629	0.14319	2.06e-09	-1.38049600266393	0.767353990100042	0.137984341693727	0.0394240976267791	0	0	0.775241059314612	0.167943666794225	0.704493830642051	0.442231812210498	0.531416434486066	0.239169535877988	0.152282207034995	0.0187675620397177	0.966584210641608	0.479134026786997	0.15416723755059	-0.162483394618204
Ral_320	Block2	77.7104339394998	77.8504166666667	-16.0982930236621	0.17675	0.00013	-7.77450544128691	-5.46218462996899	0.991935483870968	0.991935483870968	0.967543627710206	0.902012230674314	1.10189112952133	1.19174312483645	0.493171776828736	0.542483735006208	0.586618177834242	0.477745320324257	0.410857318748779	0.284233592562595	0.878182393193156	0.585969865976031	0.391161514497947	-0.0974041757390418
Ral_355	Block2	54.6480319652643	53.6608333333333	-13.0688226104763	0.19991	2.06e-09	-4.07287248950195	-1.0742226044452	0.964912280701754	0.798245614035088	0.0939631477145474	0	0.755261033151402	0.563511787392321	0.406413330134858	0.496888979283669	0.405581916761008	0.303635570081798	0.194630236359336	0.0620557922870552	0.754288547087243	0.412413434943947	0.184496693515083	-0.113958370714432
Ral_362	Block2	74.7064704804139	75.60125	-11.5129254649702	0.11469	0.00018	-6.25362222642428	-4.61321345622034	0.983934959349593	0.959539877712827	0.910749714439293	0.715589061345159	0.782392202774706	0.688158941404683	0.478378258741542	0.676681635567852	0.748711266002358	0.809959558899305	0.60743342183689	0.444689735990675	1.15426432287617	0.819887104746926	0.596968959327434	-0.111459072709746
Ral_38	Block1	67.8844848952091	69.9120833333333	-16.1081453201052	0.20151	5e-04	-6.58860691366001	-3.99014197262635	0.974621253460062	0.956979956286101	0.903558799538292	0.510247209042208	0.499738667888067	0.69640960710534	0.702823848951428	0.390285259500661	0.413957186397469	0.476389227543176	NA	NA	NA	NA	NA	NA
Ral_385	Block1	46.2910980625071	45.9654166666667	-13.7957079306681	0.25622	0.00022	-2.26368961589613	1.57753749660998	0.635638870932989	0.175175470194627	0	0	1.61777408422258	1.22941599154473	0.599176160920956	0.259582311767869	0.214819866776266	0.351285952622409	NA	NA	NA	NA	NA	NA
Ral_405	Block2	54.9121047609344	55.9529166666667	-12.007221786785	0.17505	4e-04	-4.10540555536268	-1.5024231453899	0.935544715447154	0.725853658536585	0.179424499862976	0.00878301747581002	0.622138025379716	0.395234048488835	0.464864408329165	0.405475218508269	0.511666569647574	0.352459843755888	0.104820559659554	0.0125890390528308	1.03057634717521	0.507114784411046	0.158140409234934	-0.174487187588056
